Duration,TotalRequests,SuccessfulRequests,Failed,MinResTime,MaxResTime,AvgResTime,P50,P95,P99,StdDev
367,1000,1000,0,2,131,34,29,87,112,24.53
768,2000,2000,0,2,149,36,29,98,135,27.61
940,3000,3000,0,2,134,29,23,70,95,20.05
1259,4000,4000,0,2,170,30,23,92,120,24.13
1588,5000,5000,0,3,180,30,24,77,109,21.50
1761,6000,6000,0,2,121,28,24,65,87,17.98
2072,7000,7000,0,3,130,28,24,62,97,17.96
2476,8000,8000,0,2,129,30,26,66,96,17.96
2661,9000,9000,0,3,149,28,25,62,88,16.89
3130,10000,10000,0,2,164,30,26,71,98,19.45
3091,11000,11000,0,2,150,27,23,59,84,16.29
3232,12000,12000,0,2,152,26,21,62,106,18.69
3929,13000,13000,0,2,182,29,25,65,95,18.31
4064,14000,14000,0,1,182,28,24,63,91,17.11
4425,15000,15000,0,2,161,28,24,64,98,17.76
5491,16000,16000,0,2,200,33,28,75,112,21.27
4350,17000,17000,0,2,144,24,21,56,80,15.41
4811,18000,18000,0,2,156,26,22,56,82,15.27
5114,19000,19000,0,2,157,26,22,57,82,15.56
5488,20000,20000,0,3,137,26,23,59,83,15.74